map_name,title,sub
Dungeon118,To Quomo Shrine,To Quomo's Blessing
Dungeon088,Hia Miu Shrine,A Major Test of Strength
Dungeon051,Maka Rah Shrine,Steady Thy Heart
Dungeon059,Kah Okeo Shrine,Wind Guide
Dungeon085,Kema Kosassa Shrine,A Major Test of Strength
Dungeon063,Kema Zoos Shrine,A Delayed Puzzle
Dungeon094,Tho Kayu Shrine,Tho Kayu's Blessing
Dungeon134,Takama Shiri Shrine,Dual Purpose
Dungeon003,Hawa Koth Shrine,The Current Solution
Dungeon087,Mozo Shenno Shrine,A Major Test of Strength
Dungeon046,Shada Naw Shrine,Red Giveaway
Dungeon127,Noe Rajee Shrine,The Four Winds
Dungeon053,Sha Warvo Shrine,Path of Hidden Winds
Dungeon012,Voo Lota Shrine,The Winding Route
Dungeon008,Bareeda Naag Shrine,Cannon
Dungeon035,Akh Va'quot Shrine,Windmills
Dungeon083,Tena Ko'sah Shrine,A Major Test of Strength
Dungeon100,Keeha Yoog Shrine,Keeha Yoog's Blessing
Dungeon076,Sasa Kai Shrine,A Modest Test of Strength
Dungeon036,Sho Dantu Shrine,Two Bombs
Dungeon121,Kihiro Moh Shrine,Inside the Box
Dungeon043,Kuh Takkar Shrine,Melting Ice Hazard
Dungeon060,Daqo Chisay Shrine,The Whole Picture
Dungeon032,Dako Tah Shrine,Electric Path
Dungeon093,Raqa Zunzo Shrine,Raqa Zunzo's Blessing
Dungeon128,Kiah Toza Shrine,Master the Orb
Dungeon018,Rok Uwog Shrine,Power of Reach
Dungeon052,Gee Ha'rah Shrine,Tandem
Dungeon086,Goma Asaagh Shrine,A Major Test of Strength
Dungeon104,Lanno Kooh Shrine,Lanno Kooh's Blessing
Dungeon129,Shira Gomar Shrine,Aim for Stillness
Dungeon055,Dunba Taag Shrine,Build and Release
Dungeon021,Toh Yahsa Shrine,Buried Secrets
Dungeon037,Shae Loya Shrine,Aim for the Moment
Dungeon058,Mogg Latan Shrine,Synced Swing
Dungeon078,Mijah Rokee Shrine,A Modest Test of Strength
Dungeon030,Joloo Nah Shrine,Joloo Nah Apparatus
Dungeon010,Kay Noh Shrine,Power of Electricity
Dungeon110,Korsh O'hu Shrine,Korsh O'hu's Blessing
Dungeon133,Keive Tala Shrine,Big or Small
Dungeon107,Misae Suma Shrine,Misae Suma's Blessing
Dungeon062,Sha Gehma Shrine,Shift and Lock
Dungeon115,Rona Kachta Shrine,Rona Kachta's Blessing
Dungeon042,Rin Oyaa Shrine,Directing the Wind
Dungeon011,Monya Toma Shrine,Drawing Parabolas
Dungeon092,Maag No'rah Shrine,Maag No'rah's Blessing
Dungeon004,Zalta Wa Shrine,Two Orbs to Guide You
Dungeon020,Sheem Dagoze Shrine,Moving in Parallel
Dungeon027,Rota Ooh Shrine,Passing of the Gates
Dungeon065,Keh Namut Shrine,Cryonis Trial
Dungeon072,Dah Kaso Shrine,A Minor Test of Strength
Dungeon122,Etsu Korima Shrine,Path of Light
Dungeon001,Jee Noh Shrine,On the Move
Dungeon103,Dila Maag Shrine,Dila Maag's Blessing
Dungeon090,Suma Sahma Shrine,Suma Sahma's Blessing
Dungeon116,Qaza Tokki Shrine,Qaza Tokki's Blessing
Dungeon098,Daag Chokah Shrine,Daag Chokah's Blessing
Dungeon073,Katah Chuki Shrine,A Minor Test of Strength
Dungeon074,Noya Neha Shrine,A Minor Test of Strength
Dungeon089,Saas Ko'sah Shrine,A Major Test of Strength
Dungeon040,Kaam Ya'tak Shrine,Trial of Power
Dungeon038,Oman Au Shrine,Magnesis Trial
